Title,Company_name,Location,Contract_type,Requirement,Salary,Technical_skills,Link_image,URL
"Specialist, Digital Source Base Management, Digital Product Creation",VF Asia Ltd.,"Ho Chi Minh City, Vietnam",Full-time,"Job description ***STRATEGIC ASPIRATION: In Go-To-Market Transformation (GTMT) we drive a brand-led, enterprise-supported digital transformation to enable agility, profitable growth for various retail models, bringing VF brands closer to the market and consumers . We reimagine the product creation by modernizing and accelerating design and development processes to enable 3D design visualization. ***ROLE & RESPONSIBILITIES: Position Definition (Key Purpose of the Position): Engage global brands and use of enterprise data analytics to create digital value and support brands to achieve desired outcomes at scale. Equip brands with the capabilities to better understand, value and take advantage of digital technology. This role works with DPC management, 3D designers and brand functions, from concept to consumer, in order to generate high-quality 3D assets for VF brands. In addition, this role also works with brands, suppliers, and 3rd parties to provide SOPs and education on DPC best practices. Co-lead with Senior Specialist to provide brand-side advisory and support services regionally to ensure successful implementation and delivery projects. Responsible for analyzing, managing, and executing action plans that deliver optimal results for the DPC team. As part of the role, this position is responsible for achieving key targets by considering various factors which include on time delivery, optimal margin delivery and fill rate considerations. Support Senior Specialist to provide innovative ways of solving complex problems depending on the scale and complexity of project. ***KEY RESULT AREAS: **Data Analytics & Information Management · Execute analytical efforts to support VF Digital Product Creation initiatives and brand-specific product strategies. · Responsible for defining and delivering the required service levels for all relevant operational services for that business; ensure that all requirements of the brands are captured and analyzed · Responsible for portfolio and performance management for all Digital activities in scope of that business · The point-person for to deliver operational projects that support the growth and expansion of digital assets creation. · Responsible for execution of programs and projects through leverage of multi-disciplinary teams · Support the DPC teams to reduce the physical prototypes & samples, reduce the calendar timelines, help VF become more a sustainable company, and enable new business processes. · Provide input to DPC teams to develop material, avatar, and garment block libraries for Digital Product Creation projects. · Coordinate data gathering and work closely with senior specialists to provide information to Digital Assurance and Operational Excellence team for continuous improvement projects. · Track department KPIs, such as acceptance rates, fill rates and prepare for management reporting every month. **Stakeholders Management · Build strong partnership with cross functional teams to ensure continuous collaboration. Follow up with relevant internal & external stakeholders to ensure seamless project implementation. · Work with the end users to help them understand the changes and increase adoption of new solution. · Utilize both relationship building and strong analytical skill sets to drive decision making that ensures processes are integrated and aligned across all regions · Act as a change agent throughout the supply chain by building trust with stakeholders, articulate clearly and consistently the business objectives. · Train brands, vendors, and 3rd party partners on the 3D creation process; i.e. training new staff, factory partners, material suppliers, and contractors · Provide consultative sessions with brands and factories on ways to implement digital processes including the creations of foundational standards and libraries. · Engage 3D designers, merchandising, product development, technical design, sourcing, sales and marketing to develop 3D Digital Product Creation process and capabilities.",Negotiable,"SKILLSupply Chain, Data Analysis, Information Management, Stakeholder Management, Gerber",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F47%2F10917180.png&w=256&q=75,https://www.vietnamworks.com/specialist-digital-source-base-management-digital-product-creation-1760636-jd?source=searchResults&searchType=2&placement=1760636&sortBy=date
IT Governance Senior Officer,Toyota Financial Services Vietnam,"67 Le Loi Street, Ben Nghe, District 1, Ho Chi Minh, Vietnam",Full-time,"Job description *Personal Data Protection (50%) – PDP implementation plan + Implement 57 topics. + Implement the System for DPP. – PDP policy + Review and Match the Policy from Vilaf and TFS Global Policy. – PDP Training + Update information. + Train to New employees. – Toyota Global Privacy Guideline + TFSVN Assessment (54 topics). + Implement the update and report to Global. – Other: + Review, Monitor, Report to Governance and Global. + Stay up to date of relevant laws, regulations, and IT industry standards to ensure the organizations IT practices remain compliant. + Support DPO Tasks. *IT Governance (50%) – GISG Assessment (341 Topics) + Cooperate with IT Infrastructure and IT Application to complete the requirements of IT Global. + Update the IT Document according to Global. – Update information to the One Trust. + Update evidences, comments to the finding in One Trust. – Conduct the External, Global and Internal Audit. + Prepare, Review the Documents. + Provide and update the findings. – Review and update the IT Policy, Procedure, Rule according to the TFS IT Global. – Monitor and remind compliance with IT work processes. – Develop, implement, and maintain IT governance frameworks to ensure alignment with Governance, Global and TFS. – Monitor and assess the effectiveness of IT governance processes and make recommendations for continuous improvement. – Stay up to date of relevant laws, regulations, and IT industry standards to ensure the organizations IT practices remain compliant.",Negotiable,"SKILLGRC, Cyber ​​Security Analysis, Risk Management, Governance, IT Governance",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F7b%2F11125433.png&w=256&q=75,https://www.vietnamworks.com/it-governance-senior-officer--1766075-jd?source=searchResults&searchType=2&placement=1766075&sortBy=date
Pre - CTO (Potential Chief Technology Officer),Công Ty TNHH Esuhai,"Ho Chi Minh City, Vietnam",Full-time,"Job description ESUHAI GROUP has a determined need to apply digital technology in business development. We have and also want to gather a lot of practical ideas to build-up an administrative application platform (ERP) for businesses with a scale of 100 ~ 500 employees. And we hope that this application platform can be commercialized in the niche markets of Vietnam & Japan. We really started getting into the world of technology. And want to build a strong Vietnamese enterprise in information technology, with sustainable development with young talents who are enthusiastic and passionate about technology, willing to study and work to develop top technology products, brings effective management utilities to businesses, and is ready to reach out to the world. Therefore, we are recruiting young talents who have the desire to stick together, agree to create together, and join us in learning and being determined to develop pioneering products and be in charge of processing software products. software for the Japanese market. If you are passionate and are developing a career in the information technology industry in various fields, wishing to develop into a professional CTO. If you are between the ages of 28 and 35, want to challenge yourself for unlimited development, or need an expert to lead your ideas to create optimal applications to be proud of, ESUHAI GROUP welcomes you. you!Job requirements",Negotiable,"SKILLSQL, Agile, Scrum, IT Software, Information Technology",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa4%2F10813712.png&w=256&q=75,https://www.vietnamworks.com/pre-cto-giam-doc-cong-nghe-tiem-nang-1765925-jd?source=searchResults&searchType=2&placement=1765925&sortBy=date
"Engineer, Digital Solutions (Fullstack Engineer)",Sick Pte. Ltd.,"Room: 1402 – Floor 14, ZenTower Building, No.12, Khuat Duy Tien Street, Thanh Xuan District, Hanoi",Full-time,"Job description • Developing, modifying and implementing software adhering to high quality coding standards and the best software development and testing practices (such as testing, source control, release management) to ensure software quality • Develop software to integrate SICK sensors using SICK AppSpace and/ or other platforms to provide solutions to customers • Design, develop or modify and implement software solution to support Asia Pacific Business Case • Working on projects related to deep learning, AGC, Robotic Application and Industry 4.0 • Supporting the program's needs to gather and analyze data from different sources to support decisions • Increasing efficiency by improving program's processes continuously through automation, workflows and system optimization • Provide software development and technical training to enhance the competency of subsidiary and/or customer • Create technical documentations for internal and external useJob requirements • Bachelor's degree in technology, engineering, or a related field is required • Experience in architecting and developing end-to-end software for at least one year is required • Write clean, maintainable code to ensure delivery of high-quality, secure, and scalable solutions that meet or exceed customer expectations • Frontend: required to have solid knowledge in Typescript and stay up to date with new Angular developments and technologies • Backend: Proficiency at least one programming languages: JavaScript / TypeScript / NodeJS, Ruby, Python or Lua to build backend applications • Solid working knowledge of various databases including MySQL, PostgreSQL, SQLite, NoSQL, or Redis • Experience in using Docker / Kubernetes to deploy software running on-premises or cloud services • Fluent in writing and communicating in English Bonus points - • Having a fundamental knowledge of Software Development Life Cycle (SDLC) • Ability to architect, use and deploy cloud services in at least one cloud provider such as Amazon, Microsoft Azure, or Google Cloud • Utilize DevOps tools to support other engineers, including implementing and maintaining CI/CD systems, development environments, and security protocols • Experience in working with industrial fields and devices, systems • Experience with AI technologies",Negotiable,"SKILLC++, C, Embedded System",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F31%2F11088516.png&w=256&q=75,https://www.vietnamworks.com/engineer-digital-solutions-fullstack-engineer-1758421-jd?source=searchResults&searchType=2&placement=1758421&sortBy=date
Senior Project Manager,DEK Technologies,"Ho Chi Minh City, Vietnam.",Full-time,"Job description • Reporting to the Engagement Manager, the Agile Project Managers will take responsibility for software delivery, support or maintenance projects, establishing, monitoring and controlling progress checkpoints and/or service level agreements. • Ensure that assigned resources (staff, equipment, and services, funds, time) are properly utilized and accounted for and up-to-date usage of information is maintained. • Establish the scope of the project and take full responsibility for the clear briefing and direction of staff using Agile methodologies. • Plan the work with a team or project group within an Agile framework using appropriate planning tools, producing plans to standards required. • Ensure the Agile disciplines are correctly followed and educate members of the team and the client that do not have the relevant experience. • Monitor progress, producing reports on progress against plan according to standards, acting within authority to maintain progress whilst recognizing areas requiring decision making in respect of budget, schedules, resources, working methods, staff matters and or technical difficulties. • Demonstrate leadership skills in team building and staff motivation and assist with the assessment, development and mentoring of staff. • Communicate effectively, both formally and informally, orally and in writing, on technical and non-technical issues with all those with whom working interfaces and iterations arise, whether colleagues, users or customers at all levels of seniority.",Negotiable,"SKILLScrum Master, Agile IT, Project Management, Maintenance, Leadership",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa0%2F11231499.png&w=256&q=75,https://www.vietnamworks.com/senior-project-manager--1766539-jd?source=searchResults&searchType=2&placement=1766539&sortBy=date
"Senior Embedded Engineers (C, English, Automotive)",Hella Vietnam,"Ho Chi Minh, Ho Chi Minh City, Vietnam",Full-time,"Job description Your tasks In the business division Electronics, you will be working with the software development team to design software architecture for our product and coach software developers. - Create software architecture including safety & software integration and testing concept. - Monitor consistency between software architecture, software design. - Review system and software specifications. - Estimate and critical determine hardware resources - Analysis of critical SW paths and conceptual design of SW measures to ensure the required functional safety. - Review test specification for the SW module integration tests. - Review SW detailed design & changes in SW-Specifications. - Help SW developer analysis/troubleshooting of software issues - Technical guidance and coaching of SW-developers. - Follow Hella software process strictly and support process improvement in company. - Take part in the interview process. - Other job assigned by Line Manager.",Negotiable,"SKILLEnglish, Software Design, Embedded, C, MATLAB Programming",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F75%2F11247136.png&w=256&q=75,https://www.vietnamworks.com/senior-embedded-engineers-c-english-automotive-1760593-jd?source=searchResults&searchType=2&placement=1760593&sortBy=date
Experienced IT Communicator (Gross $1800 or More),"Briswell Viet Nam Co.,ltd","115-115A Vo Van Tan, Vo Thi Sau Ward, District 3, City. HCM",Full-time,"Job description *** Foreword *** Our company is recruiting excellent young IT Communicator employees (30 years old and under). Candidates who feel that they have devoted their best to the current company for the project but are not highly appreciated by the company, feel dissatisfied that the company only appreciates developers, feel that you deserve to receive even higher evaluation, then read through the company's recruitment content. our company, if you find it suitable, please apply! *** Introduction *** ・Our company's IT Communicator team receives a system development project request from a Japanese company, and confirms business requirements using Japanese. The scope of the development project includes: Web system, Android application and iOS application.・The IT Communicator team translates necessary areas in basic design documents and explains business requirements for developers to understand.・IT Communicator participates in the project as a member of the project development team like the developer. Therefore, IT Communicator is not only an interpreter or translator, but also needs to study the design documents to see how the requested service will be used, and if there is anything unclear in the design, they must voluntarily confirm it. with the designer to resolve unclear areas.",From $1800,"SKILLTranslator, Japanese, IT System Administration, Japanese N1, IT Communications",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd8%2F10833103.png&w=256&q=75,https://www.vietnamworks.com/experienced-it-communicator-gross-1800-or-more--1760501-jd?source=searchResults&searchType=2&placement=1760501&sortBy=date
Full Stack Developer,Tokio Marine Insurance Viet Nam Company Limited,"Lim Tower 3, 29A Nguyen Dinh Chieu, Da Kao Ward, Dist. 1, HCMC",Full-time,"Job description 1. Software Product Development: - Create software products that align with our company's goals. - Dive into both back-end and front-end development to build comprehensive solutions. 2. Insurance Software Optimization: - Enhance and fine-tune our insurance software system. - Identify opportunities for efficiency and performance improvements. 3. Digitalization Focus: - Leverage digitalization to elevate overall business performance. - Stay ahead by exploring new technologies and solutions. 4. Collaboration and User Testing: - Work closely with users to analyze requirements. - Execute user-acceptance tests to ensure quality. 5. Guidelines and Manuals: - Prepare comprehensive software manuals and guidelines for end users.Job requirements *Professional requirements: At least 4 years of experience in both front-end and back-end development, with solid experience in .NET Core development and proficiency in the C# programming language. Experience in designing and developing APIs, Microservices, and Cache. Experience in developing web and mobile applications using HTML, CSS, and JavaScript. Understanding of web services, APIs, XML, and JSON. Experience with PostgreSQL, and SQL Server. Exposure to low-code platforms is a plus. *Personality requirements, soft skills: Good at English. Analytical, logical, and critical thinking abilities. Effective collaboration in both independent and team settings. Quick learning in technical and functional domains. *EXPECTED START WORKING DATE: MAY. 2024, or A.S.A.P depending on candidate's availability. *BENEFITS: - 13th month salary, Performance bonus, Long-term service bonus - Monthly fixed allowance: Lunch, Mobile, Transportation - Other allowances: Birthday, Public holidays, Clothing, In-patient treatment, etc. - Annual health check, Complimentary Healthcare insurance, Healthcare insurance support for family members - Activities & Parties: 2 trips/year, Annual Conference, Company Anniversary, Women's Day, Employee Birthdays, Sports activities, etc. - Various types of Leave, up to 21.5 days/year, divided into 1/4 day (2 hours); 1/2 day (4 hours); full day & above - Social/ Health/ Unemployment Insurance on full salary *WORKING CONDITIONS: - Working location: + Ho Chi Minh Branch Office: Lim Tower 3, 29A Nguyen Dinh Chieu, Da Kao Ward, District 1, HCMC - Working time: + Monday – Friday, 8:00 – 17:00 or 8:30 – 17:30 + Work from home 1 day/week - Pantry room equipped with Refrigerator, Microwave, Coffee machine, Yogurt, Tea & Coffee - Transportation by company car & taxi for outside assignment",Negotiable,"SKILL.NET, API, Microservices, C#, Web Application Testing",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fe5%2F11114791.png&w=256&q=75,https://www.vietnamworks.com/full-stack-developer--1750460-jd?source=searchResults&searchType=2&placement=1750460&sortBy=date
"Senior Manager, Bancassurance Compensation Management",FWD Vietnam Life Insurance Company Limited,"Diamond Plaza Building, 34 Le Duan St., Dist. 1, HCMC",Full-time,"Job description PURPOSE: The job holder is the key contact/ coordinator between the external stake holders (Bank partners & FWD Banca Sales Team from all level (RSDB/ASDB/BSM/FSC) and internal related stakeholders (FIN, Other Banca Staffs & IT ) on related compensation issues. KEY ACCOUNTABILITIES: 1) Management Team: • Manage Income Management Team • Coaching underline staffs to adapt the requirements of Department/Sales/Stakeholders. • Build up team strongly about the compensation’s operation as well as team work. 2) Income Management: • Review and validate result for payment Sales Forces/ Bank fee as well as Internal sales forces • Make sure the payment accurately and on time. • Work to other departments as well as Bank Partners to solve issue if any. 3) Systems: • Enhance system to calculate automatically, decrease manual work, optimize the manpower • Review/Enhance and centralize data source for compensation calculation. 4) Related reports. • Centralize the report, template as well as delivery other required reports (Weekly/monthly BSM/DOB achievement, Withholding, PIT,...) on time and accurately. 5) Monitor Sale force income • Make and maintain income report for bank project including internal sale force and bank staffs. • Analyze & monitor and flag out if any issues happen and propose solutions.",Negotiable,"SKILLManagement Information System, Statistical Data Analysis, Incentive Planning, Statistical Reporting, Calculation Software",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11027983.png&w=256&q=75,https://www.vietnamworks.com/senior-manager-bancassurance-compensation-management-1763278-jd?source=searchResults&searchType=2&placement=1763278&sortBy=date
C / C++ Software Engineer - Relocation Bonus - Salary Up to 2500$ - Hybrid Working,LG Electronics Development Vietnam Company Limited,"The 3rd Floor, Vinh Trung Plaza, 255 Hung Vuong, Vinh Trung, Thanh Khe, Da Nang, Vietnam",Full-time,"Job description LG Electronics Development Vietnam (LG EDV) Company focuses on smart & eco-friendly automotive components. The VC Company produces high-quality & state-of-the-art in-car infotainment systems that deliver both information and entertainment on the go for many of the world's biggest automobile brands. We, LG Electronics Development Vietnam (LG EDV) conduct core R&D activities, and various product reliability tests to support our vehicle component business. As a C++ Software Engineer of LG VS DCV in the Da Nang office, your roles & responsibilities will be as below: • Participating in software development projects and applications of in-vehicle infotainment systems (Infotainment) in the field of Automotive, including, Positioning information system (AVN), Vehicle condition warning (Cluster), In-vehicle networking, and telecommunications systems cooperation with Product Owner; • Use related technologies, including user-interactive applications (HMI Applications), frameworks, and communication methods between frameworks and middleware; • Attend to full SWDL (Software Development Life Cycle) from requirement analysis, creating software design document (high-level design, detailed design), implementation, testing (UT/IT), and maintenance; • Self-assign tasks and fully be responsible for quality/quantity of delivered results; • Ensure software development on time and ensure product quality; • Handle technical problems, and report progress, and work results to management levels.",$800 - $2500,"SKILLC++, Software Engineering, Embedded, C/C++, Software Development",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fe8%2F10424470.png&w=256&q=75,https://www.vietnamworks.com/c-c-plus-plus-software-engineer-relocation-bonus-salary-up-to-2500-hybrid-working-1-2-1--1758757-jd?source=searchResults&searchType=2&placement=1758757&sortBy=date
(Senior/ Supervisor) Backend Engineer (HCM),Ban Vien Corporation,"Ho Chi Minh, Vietnam",Full-time,"Job description * Development of backend systems (web service APIs: Rest APIs or SOAP APIs, chat system, web applications such as Java/JSP) with the following responsibilities: • Requirement development: ensure the requirements of system/project are clear enough and they are transferred to all members of team/project via Scrum planning or meetings. • Design phase: knowledge of database design, system design and the architecture of the system. - Review/feedback sequence diagrams for other members’ tasks (if needed). - Understand and follow/feedback database design, architecture design, framework/libraries of projects. • Coding (CD) phase: - 50% - 80% effort for coding + bug fix + code review (similar responsibility as senior backend engineer). • Unit Test (UT) phase. - Ensure that members apply unit testing framework/library (JUnit, Mockito, TestNG, ….) if the customer requests or the quality of project is high. - Ensure the testing coverage (%) as requested. • Integration Test (IT): ensure that the whole system (modules, 3rd party) is integrated as the functional requirement.",Negotiable,"SKILLBack-end Programming, Java, NodeJS, SQL, Oracle",https://www.vietnamworks.com/_next/image?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F50%2F10916218.png&w=256&q=75,https://www.vietnamworks.com/senior-supervisor-backend-engineer-hcm-1759640-jd?source=searchResults&searchType=2&placement=1759640&sortBy=date
